amount;category;country;date;description;industry;project_name;;;;
USD 30.00 MLN;;Africa;06/04/2020;{'Who is our client': ' AfricInvest was founded in 1994 and is one of the most experienced private equity investors on the African continent. To date, AfricInvest has invested in more than 150 companies across 25 countries and has raised USD 1.5b across 18 funds, and now aims to raise USD 500m for AfricInvest Fund IV.', 'Funding objective': ' AfricInvest aims to make growth-capital investments in mid-cap African companies that are well positioned in their local markets and are posed to scale up operations as they expand outside their borders to become “regional champions”. By investing in AfricInvest IV FMO can contribute to the economic growth and private equity market development across the African continent.', 'Why we fund this project': ' This investment fits FMO’s strategy, deepening a relationship with an existing partner in African private equity investing, and contributes further to FMO’s ambition of being a preferred partner for growth in emerging markets.', 'Environmental and social rationale': ' Based on the risk profile of the pipeline companies, the preliminary E&S categorization is B (medium – high risk). AfricInvest has shown a solid commitment towards E&S and has a strong environment and social management system in place as well as an experienced and dedicated ESG manager in its team. AfricInvest conducts rigorous ESG due diligence during its investment process and develops E&S action plans for its portfolio companies to bring them into compliance with the IFC Performance Standards.'};Infrastructure, Manufacturing and Services;AFRICINVEST FUND IV, LLC;;;;
USD 0.32 MLN;;Pakistan;06/12/2020;"{'Who is our client': ' FMO is considering an investment opportunity in JPL Holding Pte. Ltd (“JPL”), a company incorporated in Singapore and 100% owner of Jhimpir Power (Private) Limited, a 50 MW wind-powered generating facility located in the Jhimpir Valley, Pakistan (the “Project”), operational since March 2018. The JPL Project has been developed by a Dubai-based company engaged in renewable power development focusing on both utility scale and distributed generation strategies.', 'Funding objective': ' The Jhimpir wind corridor has excellent wind resources, and several other projects in different stages of development/construction or operation are located in the area. As part of acquiring the Project, FMO also seeks to provide long-term capital to the Project’s developer and gain access to an attractive portfolio of operating and development assets in Pakistan. This will allow FMO to build out renewable energy capacity in a market which is characterized by a power deficit.', 'Why we fund this project': "" Renewable energy production is the key focus of FMO's energy strategy. Pakistan has an energy shortfall resulting in regular power cuts, which results in loss of productivity and hence limits the country’s economic growth. The Government of Pakistan is supportive to renewable energy project development and consequently has created the enabling environment for potential investors and lenders to invest in the sector. Wind and solar power plants (given its relative short construction time), can contribute quickly and in a more sustainable way to Pakistan's energy production compared to other energy sources (i.e. hydropower / thermal). The JPL Project is expected to generate an average of 198 GWh of electricity annually."", 'Environmental and social rationale': ' The E&S risk of the transaction has been classified as cat B+. The wind park is operational and is financed through a loan from a development finance institution applying the IFC Performance Standards in their due diligence and monitoring of the Project. The transaction triggers the IFC Performance Standards 1, 2, 3, 4 and 6. Performance Standard 5 is not triggered because there is no economic or physical resettlement. Performance Standard 7 is not triggered because the communities surrounding the Project are not indigenous peoples. Performance Standard 8 is not triggered beyond the standard practice of a chance find procedure. The environmental & social action plan agreed with the lending development finance institution is being implemented in a pro-active and satisfactory way. The project company has a fully functional bird/bat monitoring process in place, is very active in community development and engagement, and has designed the site lay-out in such a way that there is no resettlement and no negative impact on livelihoods.'}";Energy;JCM POWER EUROPE BV;;;;
USD 15.00 MLN;;Rwanda;6/26/2020;{'Who is our client': ' I&M Bank Rwanda, headquartered in Kigali, is one of the top 3 commercial banks in Rwanda and was established in 1963. It provides financial services to corporates, SMEs and retail customer. I&M Rwanda is part of the I&M Group, a leading financial services provider in East-Africa and long-standing partner of FMO. The Group was established in 1974 and operates in 4 countries: Kenya, Tanzania, Mauritius and Rwanda.', 'Funding objective': ' The proceeds of the loan will be used for general purposes and, on a best effort basis, for green lending (mainly hydro projects).', 'Why we fund this project': ' The transaction with I&M Bank Rwanda will allow FMO to expand its regional scope by increasing its footprint in East-Africa’s LDCs and by seeking exposure outside of the larger markets (South Africa and Kenya). In addition, I&M Bank Rwanda is part of the I&M Bank Group, long-standing partner of FMO. Through this transaction, we intensify our increasing collaboration with I&M in all countries of operations. This transaction provides FI with the opportunity to support green financing for the first time in Rwanda.', 'Environmental and social rationale': ' The Bank is classified as E&S category B in accordance with FMO’s policy. High-risk sectors represent less than 5% of the total portfolio and the average loan size is USD 30k.'};Financial Institutions;I AND M BANK (RWANDA) PLC;;;;
USD 10.00 MLN;;Africa;6/29/2020;{'Who is our client': ' Eco.business II Sub-Fund (“EBF II”) is an open ended debt fund that aims to promote ecologically sustainable businesses, with a special focus on fighting deforestation in Sub-Saharan Africa, through the provision of dedicated financing and technical assistance. The eco.business II Sub-Fund was initiated by Germany’s KfW Development Bank with financial support from the German Federal Ministry for Economic Cooperation and Development (BMZ). The Fund is managed by Finance-In-Motion.', 'Funding objective': ' FMO will invest in senior shares. The funds will be on-lent to local financial institutions that target sustainable businesses/projects (i.e. certified or identified as green). In addition, the Fund looks to set up strategic partnerships with commodity buyers to finance smallholders and also to finance high impact projects directly. Priority sectors will be sustainable agriculture, fishery, forestry and tourism.', 'Why we fund this project': ' FMO’s investment in EBF II will contribute to biodiversity conservation and sustainable use of natural resources, which is directly in line with SDG 13. Being one of the first investors, FMO’s stamp of approval is expected to attract additional investors to the Fund.', 'Environmental and social rationale': ' Based on the expected portfolio composition, the investment has been categorised as Category B, in accordance with FMO’s Sustainability Policy.'};Financial Institutions;ECO-BUSINESS FUND II SUB-FUND;;;;
EUR 0.04 MLN;;Pakistan;6/30/2020;{'Who is our client': ' Lakeside Energy Private Limited, a project company developing the Lakeside 50MW Wind Power Project in Pakistan and its sponsor the Naveena group.', 'Funding objective': ' The aim of the CD project is to assist our client and their local E&S consultant in preparing the necessary E&S documentation on time and at adequate quality to the Lenders. The activities supported will include broadening the scope of the impact assessment and management planning carried out so far in accordance with international standards, as well as training and strengthening the E&S and technical capacity of the client and the local consultant engaged in this project so far.', 'Why we fund this project': ' The transaction aligns well with FMO’s Energy strategy. Providing low-cost and clean power in Pakistan (which experiences significant electricity shortages) and development of the renewable energy sector will reduce the country’s power expenditures and make Pakistan less vulnerable to oil, gas and coal price movements.'};Infrastructure, Manufacturing and Services;MULTICONSULT NORGE AS;;;;
EUR 0.23 MLN;;Global;07/03/2020;{'Who is our client': ' Our client is Solvoz Holding B.V. Solvoz is developing a solutions database in combination with a tender platform to make COVID-19 response solutions available at the platform free of charge in order to make the procurement of COVID-19 related solutions more transparent and efficient. Post-COVID-19, they will continue to make the solutions available through the platform and include non-COVID-19 reponse solutions.', 'Funding objective': ' The funding objective is to cover around 35% of the development cost to launch the platform from the prototype status to being fully operational which includes the population of the various solutions and ready to launch for the first transactions to be concluded.', 'Why we fund this project': ' We fund the project as it brings a user friendly solution to the market which is currently not available. In the short term, it enhances the availability of COVID-19 response solutions for LMICs, including local solutions while at the same time laying a foundation for adding more categories to offer a broad array of aid solutions on a paid basis post COVID-19. Current practice is a wide array of procurement platforms tied to a buyer and rigid in nature.', 'Environmental and social rationale': ' Preliminary E&S categorization is B with IFC PS 2 and 4 are potentially triggered in the supply chain.   From an E&S perspective, FMO does not expect a significant negative impact of the digital platform itself but instead needs to focus on the value chain. With the client, we will work on a “sourcing/sales” policy that ensures that the parties that offer/buy the products are screened and found acceptable from an E&S/reputational perspective. On the product offering side, it is essential to verify that they deal with legitimate buyers and asses that middlemen will be avoided. Only direct end users should be considered eligible for buying.'};Infrastructure, Manufacturing and Services;SOLVOZ HOLDING BV;;;;
USD 7.50 MLN;;Kenya;07/06/2020;{'Who is our client': ' Komaza Group Inc. (“Komaza”) is a vertically integrated micro-forestry company working with smallholder farmers in Coastal and Central Kenya to address a large and fast-growing wood market in Africa.', 'Funding objective': ' The main funding objective is to support the growth of Komaza within Kenya and potentially across Sub-Saharan Africa.', 'Why we fund this project': ' This investment is funded from the land use facility of the Dutch Fund for Climate and Development (“DFCD”). The DFCD seeks to improve the well-being, economic prospects, and livelihoods of vulnerable groups and enhance the health of critical ecosystems, from river basins to tropical rainforests, marshland, and mangroves. Komaza is providing (additional) economic prospects and livelihood opportunities for smallholder farmers in Africa by making them the company’s core partner and by providing the tools and services through an innovative model. Majority of smallholders Komaza works with can be considered the base of the pyramid, and especially in these rural regions the improved livelihood of large groups of farmers will have a positive impact on the larger community. In addition to supporting vulnerable groups the company aims to plant 2,500 hectares per year in its greenfield operations and plant 3 trees for each tree cut down in its brownfield operations, yielding significant carbon sequestration.', 'Environmental and social rationale': ' This transaction is categorized as B+, as the growing forestry operations have a significant effect on a diverse set of environmental and social risks and impacts: Occupational Health and Safety (PS 2) in processing facilities, Community Health and Safety (PS 4) for the logistics operations and PS 6 related biodiversity impacts are topics that bring specific risks to this transaction. The company has a significant amount of smallholder partners, which also influences the perceived E&S risk. The company has very good operating procedures in place, based on good international industry practice (GIIP);;;;;;
USD 20 MLN;;India;07/06/2020;{'Who is our client': ' FMO has invested in North Haven India Infrastructure Fund (“NHIIF”, the “Fund”), an Indian private equity fund focusing on investments mostly in asset-light infrastructure. The Fund is managed by Morgan Stanley Investment Management Private Limited.', 'Funding objective': ' FMO will support establishment of the first India focused infrastructure fund managed by the international and reputable investment division of Morgan Stanley. NHIIF targets to invest significant minority or majority stakes in companies active in three segments: (i) energy and utilities, (ii) mobility and logistics, and (iii) social infrastructure (healthcare, education).', 'Why we fund this project': ' The Fund will invest in private companies building physical and societal infrastructure required to enable large groups of population in India to benefit from economic efficiencies as well as improved services and social welfare.', 'Environmental and social rationale': ' The Fund’s E&S category is A due to focus on infrastructure in India. Risks associated to these projects are mitigated through the Fund’s ESMS that incorporates requirements to meet domestic E&S requirements in India and Morgan Stanley’s E&S Polices which are based on the best international practices.'};Infrastructure, Manufacturing and Services;NORTH HAVEN INDIA INFRASTRUCTURE FU;;;;
EUR 0.05 MLN;;Tanzania, United Republic of;07/07/2020;{'Who is our client': ' Health Access International (HAI) is an independent hospital and healthcare consultancy company. It aims to create affordable quality healthcare for everyone by helping to develop smart and effective healthcare infrastructure and processes.', 'Funding objective': ' The objective of this project is to extend the health care services of the Kinondoni Hospital in Dar es Salaam by partially converting a vacant 3-acre (including buildings facility) into a COVID-19 unit to offer isolation and specific care for patients.', 'Why we fund this project': ' FMO is funding this project as part of the Emergency Grant Facility, a support facility that was launched to help FMO’s clients and investees to battle the negative effects of COVID-19 on their business, staff and surrounding communities. The COVID-19 pandemic presents a huge challenge to Tanzania to meet current and potential capacity in the healthcare sector. The increase in corona cases and related social economic impact of the lockdown in the country require an immense effort (public and private sector) to weather the storm. Through this project, FMO supports directly the set-up of a COVID-19 unit, facilitated by its partner Health Access International, that can later be integrated into an existing project to build a new hospital.'};Infrastructure, Manufacturing and Services;HEALTH ACCESS INTERNATIONAL BV;;;;
EUR 3.00 MLN;;Burkina Faso;07/09/2020;"{'Who is our client': "" Alliance de Credit et d'Epargne pour la Production (“ACEP”) Burkina Faso (“BF”) is a young microfinance institution providing financial products and services customised for mainly micro-entrepreneurs and SMEs whose needs are not covered by commercial banks given their informal nature."", 'Funding objective': ' The EUR 3 mln loan facility to ACEP BF will support on-lending to MSMEs in one of the Least Developed Countries, hence aligning with FMO’s strategic goal of Reducing Inequalities for the entire amount of the facility.', 'Why we fund this project': "" The transaction is a new client for FMO and will also be the first FI-AF loan in Burkina Faso, it fits with FI-AF's strategy to reinforce its presence in francophone Africa. In Burkina Faso today, one of the poorest countries in the world (HDI ranks 183th out of 188), roughly 45 persons out of 100 live below the poverty line. Hundred (100) per cent of ACEP Burkina Faso’s portfolio is dedicated to MSME funding, our loan will thereby drive financial inclusion, a critical factor in reducing poverty and achieving inclusive economic growth.  On top of that, ACEP Burkina Faso belongs to the newly founded ACEP Group, a small French microfinance network which currently has operations in 5 countries and is looking to carefully expand its network further. FMO is willing to build a long-term relationship with the Group as a whole."", 'Environmental and social rationale': ' ACEP BF is classified as Cat. C. Deal team has identified no high-risk exposures in the loan portfolio of the client. ACEP BF is a Smart Campaign endorser and regularly performs the SPI4-Cerise audit.'}";Financial Institutions;ACEP BURKINA SA;;;;
USD 15.00 MLN;;Africa;12/20/2019;"{'Who is our client': ' The Metier Sustainable Capital Fund II is a private equity fund investing in clean energy generating assets and resource efficiency projects and businesses across Africa. The fund is managed by Metier and is expected to reach first close in 2019, having development finance institutions including FMO as anchor investors. Metier Sustainable Capital Fund II is the follow-on fund of the Lereko Metier Sustainable Capital Fund (LMSC).', 'Funding objective': ' The Metier Sustainable Capital Fund II targets investments which deliver social and environmental benefits as well as financial returns. The investment mandate is balanced between renewable energy projects (encompassing both grid-tied and distributed generation) and growth capital investments in other resource efficiency sectors such as water and waste, with a unique blend of team skills, experience and networks allowing for a compelling proposition. Compared to the predecessor LMSC, which invested mostly in on-grid renewable energy projects in South Africa, the Fund II will broaden its target sectors and geographic focus across the African continent.', 'Why we fund this project': "" By investing in the Metier Sustainable Capital Fund II, FMO seeks to address the market need for energy in Africa in a sustainable and responsible manner, by increasing the production of clean energy and investing in resource efficiency projects. FMO will play an anchor investor role in the Fund II. A successful final closing of the fund means that more risk capital is available for renewable energy and clean technologies in Africa, which is fully in line with FMO's investment strategy."", 'Environmental and social rationale': ' Metier Sustainable Capital Fund II will actively contribute to sustainable development through clean energy and resource efficiency in low- and middle-income countries in Africa, that will also generate additional benefits for the local society (e.g. employment, CSR investments). The Fund’ current pipeline consists of pan Africa assets in renewable energy (incl. a mini-hydro platform, solar PV and biomass/waste water to energy plants) and resource efficiency. Overall the Fund is deemed to be category A: although the Fund pipeline mainly consists of B and B+ projects, there are some potential category A projects, as well as B+ projects that might materialize to A. Key risks include land resettlement, biodiversity impacts, occupational and community health and safety, and contextual risks. This will be confirmed by asset specific Environmental and Social Due Diligence (ESDDs) (focusing on IFC PS as well as contextual risks and climate resiliency) that will stipulate stringent IFC PS-based mitigation and compensation measures for sound E&S performance. The Fund manages E&S risks and impacts through a mature and IFC PS-aligned ESMS, together with FMO and the other DFI partners who are actively engaged through an ESG committee. The Fund also has established proper ESG reporting procedures and will closely monitor and manage E&S risks and impacts to secure net positive results or proper compensation in line with Good International Industry Practices. Further, FMO will actively engage with the Fund in an effort to identify and materialize asset-specific value add opportunities, including CSR initiatives.'}";Energy;METIER SUSTAINABLE CAPITAL INTERNAT;;;;
EUR 18.00 MLN;;Ethiopia;12/20/2019;{'Who is our client': ' Habesha Breweries Share Company (“Habesha”) is one of the leading Ethiopian brewing companies. Habesha was initiated by a group of local Ethiopian investors in 2009. The company is currently owned by Swinkels Family Brewers Holding N.V. (60%), 8,000 local shareholders (30%), and Linssen Participations B.V. (10%).', 'Funding objective': ' The proposed financing package is part of an EUR 50mln IFC-led facility and will support the company’s EUR 118 million capacity expansion program which will be complemented by an advisory services program to support local barley farmers in the country.', 'Why we fund this project': ' The project will increase the productivity, access to markets, and food security for 15,000 barley farmers. With the support of the advisory services program, Habesha hopes to reach 14,000 additional farmers through a system of forward contracting with cooperative unions and a linked system of input distribution. Through the project 500 direct, full-time jobs are expected to be created. Finally, the project will strengthen the integration of the Ethiopian malt-barley supply chain.', 'Environmental and social rationale': ' This is a category B+ project according to FMO E&S Categorization. The project is expected to generate limited and site-specific E&S impacts. These can be avoided or mitigated through implementing a time-bound Environmental and Social Action Plan.   Material E&S risks and impacts include those associated with the need for additional raw water to allow for the expansion in production and to ensure that by consuming that water Habesha does not adversely impact other water users. Also, there is a need to ensure that either the physical or economical resettlement of the four households from the land required for the plant expansion is undertaken according to the requirements of the IFC performance standards and that the livelihoods of those impacted are restored to at least the level they were before being impacted.   Applicable IFC PS are 1-4 and 5. IFC PS 6, 7 and 8 are not applicable as the land used to build the brewery is already cultivated for a long time. The brewery is not involved in primary production of agricultural commodities (i.e. there are no impacts to biodiversity and it buys its barley from other growers). Neither any cultural heritage site can be found on the land required for construction nor will there be any on the additional land that is required for the expansion. No Indigenous Peoples are found within the project’s area of influence.'};Agribusiness, Food & Water;HABESHA BREWERIES SHARE COMPANY;;;;
USD 5.38 MLN;;Africa;12/20/2019;{'Who is our client': ' Greenlight Planet, Inc. (active under the brand name SunKing) is one of the leading providers of Off-Grid solar lanterns and home systems in Sub-Saharan Africa, and in addition has a global footprint in direct sales through various partners. The company’s business model in SSA consists of the design, manufacture, distribution, and financing of various solar-powered energy solutions, through a Pay-As-You-Go offering. Customers pay off their system and associated devices through pay plans that vary in length.', 'Funding objective': ' The objective of the investment is to allow the company to continue its expansion of its Pay-As-You-Go Business in SSA. The proceeds of the funds will primarily be used to fund the acquisition of inventory and the general scale-up of the business.', 'Why we fund this project': ' Greenlight Planet provides clean and green first time energy access to households in areas with unreliable or non-existent grid connection. Increased energy access contributes to productivity of households and economic growth (lighting and charging allows work and study beyond sunset), and helps power small businesses. FMO provides financing in Local Currency, which reduces the risk profile of the company.', 'Environmental and social rationale': ' Greenlight Planet is a E&S category B project. Activities come with potential limited adverse risks associated with waste management and labour conditions.'};Energy;GREENLIGHT PLANET INCORPORATED;;;;
INR 3200.00 MLN;;India;12/26/2019;"{'Who is our client': ' National Collateral Management Services Limited (“NCML” or the “Company"") founded in 2004, is an agricultural commodities storage company headquartered in Gurgaon, India. The Company’s objective is to provide the best handling, storage, custodian and supply chain management solutions for commodities throughout the warehousing industry in addition to weather intelligence and certification via its laboratories. NCML operates a pan-India network of warehouses with more than 1.7 million metric tonnes storage capacity.', 'Funding objective': ' The objective of our funding is to finance the construction of new steel silos for the storage and preservation of staple foods products";;;;;;
USD 15.00 MLN;;India;01/03/2020;"{'Who is our client': ' BanyanTree India Growth Capital Fund is an Indian growth capital private equity fund managed by an Indian Investment Manager, BanyanTree Finance Private Limited (the ""IM""). The Fund is a 3rd successor-fund of the IM with a differentiated investment strategy to invest in Indian companies in Tier II and Tier III cities to meet demand of the growing (lower)-middle class in India.', 'Funding objective': ' The Fund is expected to close at USD 100mln - USD 125mln, and the capital will be invested in 10-15 small to medium size companies in Tier 2 and Tier 3 cities in India.  The Fund will provide long term growth capital (equity and quasi-equity) to companies which have restricted access of capital due to their location either in (i) remote areas or (ii) more poor Indian states.  The Fund has a sector-agnostic strategy and will be investing in sectors like food-processing, financial services, pharma, healthcare, education, manufacturing, among others.', 'Why we fund this project': ' FMO supports the strategy of the IM to invest in companies in Tier 2 and Tier 3 cities to improve economic inequalities among the states by providing local entrepreneurs long-term capital, improving and professionalizing operations of their companies, growing the businesses and making the companies visible to strategic investors, larger private equity funds or bringing them public for a larger investor universe.', 'Environmental and social rationale': ' The IM has a professional ESMS and it is expected that the Fund will be making investments in accordance with good ESG practices and will benefit from the ESMS. FMO will continue working with the IM to enhance the ESG knowledge within the IM team to ensure that risks in the portfolio companies are mitigated and value is created.'}";Infrastructure, Manufacturing and Services;BANYANTREE INDIA GROWTH CAPITAL FUN;;;;
USD 5.00 MLN;;Africa;01/06/2020;{'Who is our client': ' Acumen Resilient Agriculture Fund (“ARAF” or “Fund”) will be a fund that provides equity & mezzanine products and technical support to early-stage and early-growth agribusinesses. In turn, these businesses provide climate resilience solutions to smallholder farmers in East and West Africa.', 'Funding objective': ' ARAF is established to support smallholder farmers to enhance their livelihoods and climate resilience. It will invest in the following types of companies: • Aggregators: companies that provide bundled solutions such as climate resilience inputs and/or affordable credit bundled with extension services or access to markets;;;;;;
EUR 0.03 MLN;;Global;01/09/2020;{'Who is our client': ' Yapu Solutions GmhB is a Berlin-based company providing software as well as consulting services in the area of global data, climate-smart finance and inclusive finance. YAPU was founded to support financial institutions, enabling more clients at the bottom of the pyramid to pursue economic empowerment and social development, while sustainably harnessing the environment.', 'Funding objective': ' The objective is to fund two different assignments: 1) The design of a prototype for a NASIRA due diligence tool that allows for easy assessment of CD needs, and best defines automatically predefined solutions, or Terms of Reference, for consulting firms operating under the NASIRA framework agreements. 2) To help design and execute a knowledge building program (through webinars) to enable FMO’s financial institutions clients in LATAM to gain awareness on their Fintech innovation journeys in the region', 'Why we fund this project': ' There are two combined projects: 1) The prototype tool will enable FMO staff to perform a FI needs assessment in terms of i) risk management and reporting (NASIRA TA1) and ii) the ability of the FI to serve the target group(s) (NASIRA TA2). This need assessment and outcomes reports will allow FMO to provide the FI with tailored Capacity Development support in the identified areas.  2) The development of 6 webinars will enable FMO’s financial institutions clients in LAC to gain awareness on their Fintech innovation journeys in the region.'};Infrastructure, Manufacturing and Services;YAPU SOLUTIONS GMBH;;;;
USD 5.25 MLN;;India;1/21/2020;{'Who is our client': ' Established in 2015, Waycool Foods & Products PVT LTD (“Waycool” or the “Company”) is an Agri Tech company active in the Supply Chain Technologies space in India. With its food logistics & distribution activities, the Company operates across: i) multiple categories: fruits & vegetables, staples, and dairy & packaged foods, ii) multiple channels: retail businesses, hotels & restaurants, supermarkets, and own stores, and iii) multiple states in Southern India: Tamil Nadu, Karnataka, and Andhra Pradesh. The Company aims to build India’s largest and most impactful agri-food platform.', 'Funding objective': ' An equity investment is contemplated that will support the Company’s operations, expansion and capex + working capital needs.', 'Why we fund this project': ' The Company focusses on India’s fragmented food value chains and leverages technology and automation to improve logistics and distribution services, reduce food waste, increase farmer income and improve quality of the produce for the consumer.', 'Environmental and social rationale': ' This is a Category B+ project on Environmental and Social Sustainability due to the potential limited adverse social and environmental (E&S) risk and / or impacts that are few, generally site-specific, largely reversible and readily addressed through mitigation measures.  While this project has been screened against all Performance Standards, FMO’s E&S due diligence indicates that the investment will have impacts which must be managed in a manner consistent with the following Performance Standards:  PS 1 - Assessment and Management of Environmental and Social Risks and Impacts PS 2 - Labor and Working Conditions PS 3 - Resource Efficiency and Pollution Prevention PS 4 - Community Health, Safety and Security  As the nature of this project does not involve direct land acquisition or direct use of natural resources but is instead facilitating the farm to table linkages, the following performance standards do not apply to this project: - PS 6 - Biodiversity Conservation and Sustainable Management of Living Natural Resources  - PS5 - Land Acquisition and Involuntary Settlement  - PS7 - Indigenous  - PS8 - Cultural Heritage   FMO will periodically review the project’s ongoing compliance with the Performance Standards.'};Agribusiness, Food & Water;WAYCOOL FOODS AND PRODUCTS PRIVATE;;;;
USD 5.00 MLN;;Vietnam;02/05/2020;{'Who is our client': ' Established in 1989, Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) is a 100% privately-owned commercial bank in Vietnam, with a total asset size of USD 9 billion and equity of ~USD 800 million as on June 2019. It has a market share of ~ 2% of both system assets and deposits and is among the top 30 listed companies by market capitalization in Vietnam. Largest shareholder with 13.34% stake is Sovico Holdings,  a conglomerate with interest in aviation, banking, real estate and hydro power.', 'Funding objective': ' This trade finance facility will give HDBank more capacity to grow their trade finance business especially in the renewable energy space. The underlying goods are earmarked to be ‘green’, making this the first green trade finance transaction ever for FMO.', 'Why we fund this project': ' With the proposed transaction, FMO meets its green ambitions and regains its foothold in the Financial Services space in Vietnam which is one of the fastest growing economies in South-East Asia. HD Bank is front runner in the green financing programs in Vietnam, demonstrating commitment to sustainable growth of renewable energy. Vietnam ranking amongst the top 10 polluted countries in the world, this project is closely aligned to our strategic objective of supporting SDG 13.', 'Environmental and social rationale': ' The bank is classified as E&S Category A in accordance with FMO’s Policy. As per the Policy for trade finance facilities with a tenor < 1 year, the underlying transactions are required to be compliant with FMO’s exclusion list.'};Financial Institutions;HO CHI MINH CITY DEVELOPMENT JOINT;;;;
EUR 0.25 MLN;;Africa;02/06/2020;"{'Who is our client': "" FMO's client is Varcando ltd"", 'Funding objective': ' Objective of the funding is to support a feasibility study for a microfinance fund focused on setting up greenfield MFIs in the Sahel region, to be managed by Varcando.', 'Why we fund this project': ' FMO funds this project as it gives us insight in the possibilities for a greenfield MFI fund in this poor and underserved part of Africa.'}";Financial Institutions;VARCANDO LIMITED;;;;
EUR 32.00 MLN;;Côte d'Ivoire;2/26/2020;{'Who is our client': ' FMO’s client is a Special Purpose Vehicle, Atinkou S.A., registered in Côte d’Ivoire. The Sponsor is Eranove, a panAfrican industrial platform for public services management and independent water and electricity production. The Eranove group has its headquarters in Paris and operates throughout Africa. It has ~1.9 mln electricity and ~1.8 mln drinking water customers in Côte d’Ivoire and Senegal. The Eranove group develops bespoke, innovative solutions that help to provide access to essential services for as many people as possible, in accordance with international standards of corporate responsibility. As such, Eranove also developed and operates the CIPREL gas fired power plant. FMO has financed stage 4b of CIPREL with a EUR 25 mln loan, which allowed the plant to convert from an open cycle to a combined cycle power plant.', 'Funding objective': ' FMO’s loan is part of a total debt package of ~EUR 303 mln to develop, construct and operate a 390MW combined cycle gasfired power plant near Abidjan, Côte d’Ivoire. The plant consists of a 255 MW gas turbine and a 135 MW condensing steam turbine. The buyer of the electricity is the Government of Côte d’Ivoire, under a 20-year concession agreement.', 'Why we fund this project': ' ATINKOU will provide the country with stable base load electricity to support economic growth and the development of intermittent renewable energy generation. ATINKOU will replace older and less efficient power plants in Côte d’Ivoire. It is roughly 50% more efficient than the older plants, meaning it will produce the same amount of electricity with half the amount of gas. Hence, it will help the sector reduce costs (lower gas bill) and will reduce CO2 emissions. FMO’s loan tenor of 15 years is not available in the commercial market and allows the Project to offer an attractive tariff to the Government of Côte d’Ivoire.', 'Environmental and social rationale': ' This is a Category A project on Environmental and Social Sustainability due to the potentially significant, diverse, and irreversible environmental and social risks and impacts associated with the project. The key social, environmental, health and safety impacts associated with the project include: influx;;; labour and working conditions; and worker and community health, safety and security during construction and operations.  The applicable IFC Performance Standards are 1,2,3,4,5 and 6. For this type of project (power plant, design/construction and operations), PS 1-4 are always applicable. PS5 is applicable as new land is required for the project; parts of this new land are used by local communities for agriculture. A Resettlement Action Plan in line with IFC PS5 is being finalized. PS6 is applicable as part of the land needed for the project is categorized as natural habitat. Specific mitigation actions and a biodiversity management plan are being finalized. PS7 (Indigenous People) has not been found applicable;" the project does not include impacts on specific vulnerable groups or on Indigenous People as explained under PS7. PS8 is not applicable, as no objects of cultural importance were detected (confirmed by local communities).'}"",Energy,ATINKOU S.A."
EUR 21.00 MLN;;Tunisia;03/03/2020;"{'Who is our client': ' Enda is the leading MFI in Tunisia, enjoying an established position with a market share of 61% (by loans), a strong brand name, a large branch network across the country and an extensive knowledge of microfinance market needs. Enda has remained sustainable and profitable since its spin-off from Enda Inter-Arabe (NGO) in 2016. By the end of ‘18, Enda had over 362,000 borrowers and a portfolio of $201mln. Annual profit in ’18 amounted to USD 6mln.', 'Funding objective': "" FMO will arrange a LCY syndication of EUR 50mln for Enda.  FMO intends to provide EUR 20mln in TND equivalent whilst the remaining EUR 30mln will be syndicated on a best effort basis. The facility's purpose will be to support Enda's lending to its focus segments. Enda is primarily active in agri and trade (each representing 30% of the loan portfolio), service (15%) and production (12%)."", 'Why we fund this project': ' As Tunisia is classified as a “Lower Middle Income Country”, the economy and labour market show significant deficiencies. Youth unemployment is high at ca. 35%, and women account for only 24% of the work force. Clearly defined social mission is at the centre of Enda’s strategy and operations. Its social impact is recognized by international agencies (e.g. excellent rating regarding social impact by Planet rating) and international certifications (e.g. Smart Campaign Certification). By providing (non-)financial support to underserved groups and very small enterprises, Enda aims to respond to this need and to increase opportunities to participate in the economy. Our long-term financing will help Enda to pursue this strategy.', 'Environmental and social rationale': ' Enda has been categorised as Category C in accordance with FMO’s Sustainability Policy. Enda’s activities are deemed to have minimal or no adverse environmental and social risks and/or impacts. As part of the loan, Enda will be required to apply the EDFI Exclusion List and Tunisian E&S laws and regulations.'}";Financial Institutions;ENDA TAMWEEL S.A.;;;;
